location_id,kind,bank_id,district_id,display_name,lat,lon,area_type,source,activity_index,is_24hr,cash_dispensing,notes
LOC-00018,BRANCH,BNK-005,HR-PAN,Union Bank Of India – Panchkula,30.681474,76.848834,semi_urban,osm,0.66,false,true,
LOC-00019,BRANCH,BNK-003,HR-PAN,Bank Of Baroda – Panchkula,30.683739,76.846317,urban,osm,0.82,false,true,
LOC-00020,BRANCH,BNK-015,HR-PAN,Axis Bank – Panchkula,30.683076,76.845448,rural,osm,0.41,false,true,
LOC-00021,BRANCH,BNK-001,HR-PAN,Bank Branch – Panchkula,30.683052,76.845407,urban,osm,0.58,false,true,
LOC-00022,BRANCH,BNK-001,HR-PAN,State Bank Of India – Panchkula,30.682924,76.845168,semi_urban,osm,0.62,false,true,
LOC-00023,BRANCH,BNK-029,HR-PAN,Csb Bank – Panchkula,30.682821,76.845019,semi_urban,osm,0.46,false,true,
LOC-00024,ATM,BNK-001,HR-PAN,ATM – Panchkula,30.679500,76.849305,semi_urban,osm,0.46,true,true,
LOC-00025,ATM,BNK-001,HR-PAN,ATM – Panchkula,30.672275,76.837354,semi_urban,osm,0.48,true,true,
LOC-00026,BRANCH,BNK-005,HR-PAN,Union Bank Of India – Panchkula,30.685368,76.847974,semi_urban,osm,0.6,false,true,
LOC-00027,BRANCH,BNK-023,HR-PAN,Idbi Bank – Panchkula,30.684927,76.847468,semi_urban,osm,0.57,false,true,
LOC-00028,BRANCH,BNK-018,HR-PAN,Idfc First Bank – Panchkula,30.685049,76.847639,semi_urban,osm,0.52,false,true,
LOC-00029,BRANCH,BNK-016,HR-PAN,Kotak Mahindra Bank – Panchkula,30.686165,76.848832,semi_urban,osm,0.54,false,true,
LOC-00030,BRANCH,BNK-013,HR-PAN,Hdfc Bank – Panchkula,30.685946,76.848627,semi_urban,osm,0.63,false,true,
LOC-00031,BRANCH,BNK-020,HR-PAN,Federal Bank – Panchkula,30.686618,76.849363,rural,osm,0.27,false,true,
LOC-00032,BRANCH,BNK-011,HR-PAN,Bank Of Maharashtra – Panchkula,30.686761,76.849542,semi_urban,osm,0.53,false,true,
LOC-00033,BRANCH,BNK-009,HR-PAN,Indian Overseas Bank – Panchkula,30.694323,76.845863,urban,osm,0.69,false,true,
LOC-00034,BRANCH,BNK-014,UP-JHA,Post Office – Jhansi,25.517021,78.747229,semi_urban,osm,0.43,false,true,
LOC-00035,BRANCH,BNK-001,UP-JHA,State Bank Of India – Jhansi,25.516898,78.747205,semi_urban,osm,0.61,false,true,
LOC-00036,BRANCH,BNK-006,UP-JHA,Bank Of India – Jhansi,25.509939,78.745418,semi_urban,osm,0.57,false,true,
LOC-00037,ATM,BNK-014,UP-JHA,ATM – Jhansi,25.500090,78.733283,rural,osm,0.22,true,true,
LOC-00038,BRANCH,BNK-011,MH-NAN,"Bank Of Maharashtra, Sagroli Branch – Nanded",18.691682,77.737216,rural,osm,0.23,false,true,
LOC-00039,ATM,BNK-015,MH-NAN,Axis Bank Atm – Nanded,19.177229,77.309104,semi_urban,osm,0.64,true,true,
LOC-00040,ATM,BNK-021,MH-NAN,ATM – Nanded,19.177131,77.309636,rural,osm,0.21,true,true,
LOC-00041,BRANCH,BNK-001,MH-NAN,State Bank Of India – Nanded,19.179407,77.306212,rural,osm,0.36,false,true,
LOC-00042,ATM,BNK-001,MH-NAN,ATM – Nanded,19.179564,77.288064,rural,osm,0.31,true,true,
LOC-00043,ATM,BNK-001,MH-NAN,Sbi Atm & Cdm – Nanded,19.179669,77.305373,rural,osm,0.36,true,true,
LOC-00044,BRANCH,BNK-001,MH-NAN,State Bank Of India – Nanded,19.165328,77.305497,semi_urban,osm,0.65,false,true,
LOC-00045,BRANCH,BNK-003,MH-NAN,Bank Of Baroda – Nanded,19.161690,77.306102,rural,osm,0.33,false,true,
LOC-00046,BRANCH,BNK-014,MH-NAN,Icici Bank – Nanded,19.169093,77.307397,rural,osm,0.42,false,true,
LOC-00047,BRANCH,BNK-051,MH-PAR,Jankalyan Sahakari Bank Parbhani – Parbhani,19.277965,76.770498,urban,osm,0.64,false,true,
LOC-00048,BRANCH,BNK-003,UP-SUL,Bank Of Baroda – Sultanpur,26.263916,82.074258,rural,osm,0.38,false,true,
LOC-00049,ATM,BNK-005,UP-SUL,ATM – Sultanpur,26.264786,82.072632,semi_urban,osm,0.5,true,true,
LOC-00050,ATM,BNK-001,UP-SUL,ATM – Sultanpur,26.264575,82.072160,semi_urban,osm,0.56,true,true,
LOC-00051,ATM,BNK-001,UP-SUL,ATM – Sultanpur,26.274632,82.471072,rural,osm,0.29,true,true,
LOC-00052,BRANCH,BNK-007,UP-SUL,Shubham Banking Seva Kendra – Sultanpur,26.273043,82.469958,rural,osm,0.26,false,true,
LOC-00053,BRANCH,BNK-001,UP-SUL,Sbi – Sultanpur,26.270344,82.469003,rural,osm,0.42,false,true,
LOC-00054,BRANCH,BNK-002,UP-SUL,Punjab National Bank Of Dostpur – Sultanpur,26.270276,82.469268,rural,osm,0.39,false,true,
LOC-00055,BRANCH,BNK-002,UP-SUL,Punjab National Bank – Sultanpur,26.272061,82.468913,rural,osm,0.47,false,true,
LOC-00056,BRANCH,BNK-005,UP-JAU,Union Bank Of India – Jaunpur,25.690653,82.226623,semi_urban,osm,0.61,false,true,
LOC-00057,BRANCH,BNK-010,MH-NAG,Uco Bank – Nagpur,21.385182,79.306708,urban,osm,0.6,false,true,
LOC-00058,BRANCH,BNK-006,MH-NAG,Bank Of India – Nagpur,21.394617,79.306383,semi_urban,osm,0.56,false,true,
LOC-00059,BRANCH,BNK-001,MH-NAG,Shikshak Sahakari Bank Ltd. Ramtek – Nagpur,21.393558,79.326571,urban,osm,0.67,false,true,
LOC-00060,BRANCH,BNK-002,MH-NAG,Utthan Nagari Sahakari Pat Sanstha Marya. Ramtek – Nagpur,21.393458,79.326718,urban,osm,0.59,false,true,
LOC-00061,BRANCH,BNK-013,MH-NAG,Nagpur District Central Co-Operative Bank – Nagpur,21.393634,79.326760,urban,osm,0.66,false,true,
LOC-00062,BRANCH,BNK-001,MH-NAG,State Bank Of India – Nagpur,21.393848,79.326257,urban,osm,0.8,false,true,
LOC-00063,BRANCH,BNK-010,MH-NAG,Uco Bank – Nagpur,21.394056,79.327588,urban,osm,0.62,false,true,
LOC-00064,ATM,BNK-005,MH-NAG,Corporation Bank Atm – Nagpur,21.393955,79.328159,urban,osm,0.87,true,true,legacy OSM tag (merged into Union Bank of India)
LOC-00065,BRANCH,BNK-011,MH-NAG,Bank Of Maharashtra – Nagpur,21.393946,79.328219,semi_urban,osm,0.55,false,true,
LOC-00066,BRANCH,BNK-047,MH-NAG,Vidharbha Konkan Gramin Bank – Nagpur,21.395126,79.317942,urban,osm,0.58,false,true,
LOC-00067,ATM,BNK-003,MH-NAG,Bank Of Baroda Atm – Nagpur,21.394974,79.315988,semi_urban,osm,0.72,true,true,
LOC-00068,ATM,BNK-001,MH-NAG,State Bank Atm – Nagpur,21.394926,79.315312,urban,osm,0.8,true,true,
LOC-00069,ATM,BNK-013,MH-NAG,Indicash Atm – Nagpur,21.394812,79.307874,urban,osm,0.69,true,true,
LOC-00070,ATM,BNK-001,UP-JHA,ATM – Jhansi,25.455900,78.535414,urban,osm,0.59,true,true,
LOC-00071,BRANCH,BNK-013,UP-JHA,Bank Branch – Jhansi,25.455899,78.535334,semi_urban,osm,0.51,false,true,
LOC-00072,ATM,BNK-015,UP-JHA,ATM – Jhansi,25.455915,78.535259,semi_urban,osm,0.56,true,true,
LOC-00073,BRANCH,BNK-002,UP-JHA,Punjab National Bank Atm – Jhansi,25.456058,78.534997,semi_urban,osm,0.6,false,true,
LOC-00074,ATM,BNK-001,UP-JHA,ATM – Jhansi,25.454359,78.535051,semi_urban,osm,0.54,true,true,
LOC-00075,BRANCH,BNK-006,UP-JHA,Central Bank Of India – Jhansi,25.453001,78.550028,semi_urban,osm,0.47,false,true,
LOC-00076,ATM,BNK-015,UP-JHA,ATM – Jhansi,25.457961,78.565132,rural,osm,0.27,true,true,
LOC-00077,ATM,BNK-014,UP-JHA,ATM – Jhansi,25.448838,78.567540,semi_urban,osm,0.5,true,true,
LOC-00078,BRANCH,BNK-004,UP-JHA,Bank Branch – Jhansi,25.448890,78.567370,semi_urban,osm,0.46,false,true,
LOC-00079,BRANCH,BNK-001,UP-JHA,Bank Branch – Jhansi,25.448838,78.567283,semi_urban,osm,0.51,false,true,
LOC-00080,ATM,BNK-048,UP-JHA,ATM – Jhansi,25.448585,78.570317,semi_urban,osm,0.46,true,true,
LOC-00081,BRANCH,BNK-007,UP-JHA,Allahabad Bank – Jhansi,25.443685,78.568693,semi_urban,osm,0.52,false,true,legacy OSM tag (merged into Indian Bank)
LOC-00082,ATM,BNK-002,UP-JHA,ATM – Jhansi,25.443029,78.554357,semi_urban,osm,0.56,true,true,
LOC-00083,BRANCH,BNK-001,UP-JHA,State Bank Of India – Jhansi,25.443177,78.554373,rural,osm,0.33,false,true,
LOC-00084,BRANCH,BNK-002,UP-JHA,Punjab National Bank – Jhansi,25.447688,78.595815,semi_urban,osm,0.68,false,true,
LOC-00085,ATM,BNK-001,UP-JHA,ATM – Jhansi,25.443810,78.577159,semi_urban,osm,0.44,true,true,
LOC-00086,BRANCH,BNK-048,UP-JHA,Sarva Up Gramin Bank – Jhansi,25.459281,78.582215,rural,osm,0.26,false,true,
LOC-00087,ATM,BNK-001,UP-JHA,ATM – Jhansi,25.459344,78.586458,semi_urban,osm,0.55,true,true,
LOC-00088,ATM,BNK-016,UP-JHA,ATM – Jhansi,25.467530,78.590770,urban,osm,0.6,true,true,
LOC-00089,BRANCH,BNK-002,UP-JHA,Punjab National Bank – Jhansi,25.468581,78.591798,semi_urban,osm,0.64,false,true,
LOC-00090,BRANCH,BNK-001,UP-JHA,State Bank Of India – Jhansi,25.453096,78.605759,semi_urban,osm,0.64,false,true,
LOC-00091,BRANCH,BNK-006,UP-JHA,Central Bank Of India – Jhansi,25.460236,78.641960,urban,osm,0.68,false,true,
LOC-00092,ATM,BNK-013,UP-JHA,Cbi – Jhansi,25.460381,78.641796,rural,osm,0.19,true,true,
LOC-00093,ATM,BNK-015,UP-JHA,ATM – Jhansi,25.461375,78.640731,semi_urban,osm,0.47,true,true,
LOC-00094,BRANCH,BNK-001,UP-JHA,State Bank Of India Digara – Jhansi,25.465101,78.650263,rural,osm,0.36,false,true,
LOC-00095,ATM,BNK-014,UP-LAL,ATM – Lalitpur,24.705238,78.420309,rural,osm,0.24,true,true,
LOC-00096,BRANCH,BNK-003,UP-LAL,Bank Of Baroda – Lalitpur,24.688828,78.407962,rural,osm,0.36,false,true,
LOC-00097,ATM,BNK-013,UP-LAL,ATM – Lalitpur,24.692239,78.420378,rural,osm,0.32,true,true,
LOC-00098,BRANCH,BNK-050,MH-BEE,Bank Branch – Beed,18.857973,76.520261,rural,osm,0.31,false,true,
LOC-00099,ATM,BNK-003,MH-PUN,ATM – Pune,18.590131,73.862795,urban,osm,0.58,true,true,
LOC-00100,ATM,BNK-013,MH-PUN,ATM – Pune,18.588938,73.862455,semi_urban,osm,0.55,true,true,
LOC-00101,BRANCH,BNK-001,MH-PUN,State Bank Of India – Pune,18.579089,73.876604,semi_urban,osm,0.72,false,true,
LOC-00102,ATM,BNK-015,MH-PUN,ATM – Pune,18.577591,73.875294,urban,osm,0.6,true,true,
LOC-00103,ATM,BNK-013,MH-PUN,ATM – Pune,18.572928,73.883551,urban,osm,0.6,true,true,
LOC-00104,BRANCH,BNK-023,MH-PUN,Idbi Bank – Pune,18.574348,73.884432,urban,osm,0.58,false,true,
LOC-00105,ATM,BNK-017,MH-PUN,ATM – Pune,18.574396,73.884456,urban,osm,0.73,true,true,
LOC-00106,ATM,BNK-013,MH-PUN,ATM – Pune,18.574343,73.890566,urban,osm,0.7,true,true,
LOC-00107,BRANCH,BNK-014,MH-PUN,Atm – Pune,18.577454,73.893091,urban,osm,0.64,false,true,
LOC-00108,BRANCH,BNK-013,MH-PUN,Hdfc Bank – Pune,18.598654,73.901080,semi_urban,osm,0.73,false,true,
LOC-00109,BRANCH,BNK-014,MH-PUN,Icici Bank – Pune,18.598132,73.901027,urban,osm,0.83,false,true,
LOC-00110,ATM,BNK-001,MH-PUN,ATM – Pune,18.590540,73.906273,urban,osm,0.62,true,true,
LOC-00111,ATM,BNK-001,MH-PUN,ATM – Pune,18.565035,73.916348,semi_urban,osm,0.51,true,true,
LOC-00112,BRANCH,BNK-006,MH-PUN,Bank Of India – Pune,18.565030,73.916144,urban,osm,0.69,false,true,
LOC-00113,BRANCH,BNK-014,MH-PUN,Icici Bank – Pune,18.565859,73.918049,urban,osm,0.81,false,true,
LOC-00114,ATM,BNK-002,MH-PUN,ATM – Pune,18.566598,73.918706,urban,osm,0.71,true,true,
LOC-00115,BRANCH,BNK-001,MH-PUN,State Bank Of India – Pune,18.563378,73.918284,urban,osm,0.87,false,true,
LOC-00116,BRANCH,BNK-001,MH-PUN,Bank Branch – Pune,18.564069,73.913894,urban,osm,0.6,false,true,
LOC-00117,BRANCH,BNK-019,MH-PUN,Indusind Bank – Pune,18.563903,73.913852,urban,osm,0.68,false,true,
LOC-00118,BRANCH,BNK-017,MH-PUN,Yes Bank – Pune,18.559438,73.911436,urban,osm,0.59,false,true,
LOC-00119,BRANCH,BNK-010,MH-PUN,Uco Bank – Pune,18.559676,73.911437,semi_urban,osm,0.46,false,true,
LOC-00120,BRANCH,BNK-001,MH-PUN,State Bank Of India – Pune,18.555557,73.897019,urban,osm,0.82,false,true,
LOC-00121,BRANCH,BNK-001,MH-PUN,State Bank – Pune,18.555562,73.897029,urban,osm,0.81,false,true,
LOC-00122,BRANCH,BNK-014,MH-PUN,Icici Bank – Pune,18.552740,73.892147,urban,osm,0.87,false,true,
LOC-00123,BRANCH,BNK-005,MH-PUN,Union Bank Of India – Pune,18.551686,73.895219,urban,osm,0.83,false,true,
LOC-00124,ATM,BNK-045,MH-PUN,Janaseva Sahakari Bank Ltd. – Pune,18.551986,73.897190,urban,osm,0.63,true,true,
LOC-00125,ATM,BNK-001,MH-PUN,ATM – Pune,18.552905,73.897837,urban,osm,0.62,true,true,
LOC-00126,BRANCH,BNK-003,MH-PUN,Bank Of Baroda – Pune,18.546489,73.901434,urban,osm,0.84,false,true,
LOC-00127,BRANCH,BNK-003,MH-PUN,Vijaya Bank – Pune,18.546505,73.901373,urban,osm,0.79,false,true,legacy OSM tag (merged into Bank of Baroda)
LOC-00128,BRANCH,BNK-007,MH-PUN,Indian Bank – Pune,18.546902,73.901193,semi_urban,osm,0.58,false,true,
LOC-00129,ATM,BNK-016,MH-PUN,Kotak Mahindra Bank – Pune,18.546038,73.906386,urban,osm,0.6,true,true,
LOC-00130,BRANCH,BNK-019,MH-PUN,Indusind Bank – Pune,18.544984,73.905797,urban,osm,0.72,false,true,
LOC-00131,ATM,BNK-019,MH-PUN,Indusind Bank – Pune,18.545045,73.905813,semi_urban,osm,0.56,true,true,
LOC-00132,BRANCH,BNK-013,MH-PUN,Hdfc Bank – Pune,18.546037,73.904125,urban,osm,0.75,false,true,
LOC-00133,BRANCH,BNK-001,MH-PUN,State Bank Of India – Pune,18.545095,73.909852,urban,osm,0.83,false,true,
LOC-00134,ATM,BNK-001,MH-PUN,State Bank Of India – Pune,18.545072,73.909954,urban,osm,0.88,true,true,
LOC-00135,BRANCH,BNK-022,MH-PUN,Bandhan Bank – Pune,18.544769,73.911544,urban,osm,0.57,false,true,
LOC-00136,ATM,BNK-004,MH-PUN,Canara Bank – Pune,18.556557,73.908370,urban,osm,0.77,true,true,
LOC-00137,BRANCH,BNK-004,MH-PUN,Canara Bank – Pune,18.556578,73.908408,urban,osm,0.87,false,true,
LOC-00138,BRANCH,BNK-015,MH-PUN,Axis Bank – Pune,18.524073,73.906149,urban,osm,0.74,false,true,
LOC-00139,BRANCH,BNK-015,MH-PUN,Axis Bank – Pune,18.539369,73.899395,urban,osm,0.81,false,true,
LOC-00140,BRANCH,BNK-006,MH-PUN,Bank Of India – Pune,18.536400,73.898648,urban,osm,0.67,false,true,
LOC-00141,BRANCH,BNK-001,MH-PUN,State Bank Of India – Pune,18.539362,73.893477,urban,osm,0.75,false,true,
LOC-00142,ATM,BNK-015,MH-PUN,Axis Bank – Pune,18.539789,73.892277,urban,osm,0.76,true,true,
LOC-00143,ATM,BNK-013,MH-PUN,Hdfc Bank – Pune,18.539789,73.892304,urban,osm,0.86,true,true,
LOC-00144,ATM,BNK-016,MH-PUN,Kotak Mahindra Bank – Pune,18.539728,73.893923,urban,osm,0.58,true,true,
LOC-00145,BRANCH,BNK-001,MH-PUN,State Bank Of India – Pune,18.537110,73.885826,urban,osm,0.76,false,true,
LOC-00146,BRANCH,BNK-001,MH-PUN,Sbi Intouch – Pune,18.538780,73.885701,urban,osm,0.84,false,true,
LOC-00147,BRANCH,BNK-005,MH-PUN,Corporation Bank – Pune,18.539001,73.885688,urban,osm,0.76,false,true,legacy OSM tag (merged into Union Bank of India)
LOC-00148,BRANCH,BNK-014,MH-PUN,Icici Bank – Pune,18.540454,73.885229,urban,osm,0.81,false,true,
LOC-00149,ATM,BNK-005,MH-PUN,Union Bank Of India – Pune,18.541070,73.885690,urban,osm,0.72,true,true,
LOC-00150,ATM,BNK-001,MH-PUN,Standard Chartered – Pune,18.539579,73.886984,urban,osm,0.71,true,true,
LOC-00151,BRANCH,BNK-006,MH-PUN,"Bank Of India,Koregaon Park Branch – Pune",18.541615,73.886201,semi_urban,osm,0.51,false,true,
LOC-00152,ATM,BNK-013,MH-PUN,Hdfc Bank – Pune,18.539344,73.878993,urban,osm,0.81,true,true,
LOC-00153,BRANCH,BNK-003,MH-PUN,Bank Branch – Pune,18.527412,73.879080,urban,osm,0.59,false,true,
LOC-00154,BRANCH,BNK-013,MH-PUN,Hsbc – Pune,18.527407,73.878984,urban,osm,0.71,false,true,
LOC-00155,ATM,BNK-003,MH-PUN,ATM – Pune,18.527126,73.876624,urban,osm,0.71,true,true,
LOC-00156,BRANCH,BNK-013,MH-PUN,Hdfc Bank – Pune,18.527176,73.876618,semi_urban,osm,0.6,false,true,
LOC-00157,BRANCH,BNK-004,MH-PUN,Syndicate Bank – Pune,18.525891,73.876288,urban,osm,0.74,false,true,legacy OSM tag (merged into Canara Bank)
LOC-00158,ATM,BNK-004,MH-PUN,Canara Bank Atm – Pune,18.528591,73.875216,urban,osm,0.86,true,true,
LOC-00159,ATM,BNK-003,MH-PUN,ATM – Pune,18.528662,73.875104,urban,osm,0.67,true,true,
LOC-00160,ATM,BNK-001,MH-PUN,ATM – Pune,18.528779,73.875074,urban,osm,0.72,true,true,
LOC-00161,ATM,BNK-001,MH-PUN,ATM – Pune,18.528743,73.875079,semi_urban,osm,0.58,true,true,
LOC-00162,ATM,BNK-048,MH-PUN,ATM – Pune,18.515021,73.868727,urban,osm,0.71,true,true,
LOC-00163,ATM,BNK-014,MH-PUN,ATM – Pune,18.515294,73.866467,urban,osm,0.69,true,true,
LOC-00164,ATM,BNK-013,MH-PUN,ATM – Pune,18.515453,73.866345,urban,osm,0.72,true,true,
LOC-00165,ATM,BNK-001,MH-PUN,ATM – Pune,18.515298,73.865870,urban,osm,0.71,true,true,
LOC-00166,ATM,BNK-014,MH-PUN,ATM – Pune,18.515268,73.865917,urban,osm,0.61,true,true,
LOC-00167,ATM,BNK-016,MH-PUN,Kotak Mahindra Bank – Pune,18.520208,73.863993,urban,osm,0.59,true,true,
LOC-00168,ATM,BNK-013,MH-PUN,Hdfc Bank – Pune,18.520263,73.864036,semi_urban,osm,0.71,true,true,
LOC-00169,ATM,BNK-005,MH-PUN,Union Bank – Pune,18.524291,73.864313,urban,osm,0.85,true,true,
LOC-00170,BRANCH,BNK-005,MH-PUN,Union Bank – Pune,18.524225,73.864256,urban,osm,0.77,false,true,
LOC-00171,ATM,BNK-014,MH-PUN,Icici Bank – Pune,18.522425,73.866525,urban,osm,0.76,true,true,
LOC-00172,ATM,BNK-014,MH-PUN,Icici Bank – Pune,18.533295,73.873822,urban,osm,0.75,true,true,
LOC-00173,BRANCH,BNK-016,MH-PUN,Kotak Mahindra Bank – Pune,18.533230,73.876741,urban,osm,0.71,false,true,
LOC-00174,BRANCH,BNK-011,MH-PUN,Bank Of Maharashtra – Pune,18.534757,73.876114,semi_urban,osm,0.46,false,true,
LOC-00175,ATM,BNK-016,MH-PUN,Kotak Mahindra Bank – Pune,18.535593,73.876257,urban,osm,0.63,true,true,
LOC-00176,ATM,BNK-001,MH-PUN,ATM – Pune,18.548848,73.878853,semi_urban,osm,0.51,true,true,
LOC-00177,ATM,BNK-014,MH-PUN,Icici Bank – Pune,18.546933,73.886481,semi_urban,osm,0.59,true,true,
LOC-00178,ATM,BNK-001,MH-PUN,State Bank Of India – Pune,18.559992,73.891401,semi_urban,osm,0.6,true,true,
LOC-00179,BRANCH,BNK-013,MH-PUN,Hdfc Bank – Pune,18.562150,73.838034,semi_urban,osm,0.61,false,true,
LOC-00180,BRANCH,BNK-013,MH-PUN,Hdfc Bank – Pune,18.562531,73.836728,urban,osm,0.79,false,true,
LOC-00181,BRANCH,BNK-013,MH-PUN,Hdfc Bank – Pune,18.562291,73.836461,urban,osm,0.77,false,true,
LOC-00182,BRANCH,BNK-003,MH-PUN,Bank Of Baroda – Pune,18.561788,73.836536,urban,osm,0.8,false,true,
LOC-00183,ATM,BNK-001,MH-PUN,State Bank Of India – Pune,18.546382,73.838631,urban,osm,0.81,true,true,
LOC-00184,BRANCH,BNK-001,MH-PUN,State Bank Of India – Pune,18.536419,73.851137,urban,osm,0.83,false,true,
LOC-00185,BRANCH,BNK-005,MH-PUN,"Pdcc Bank, Agricultural College Branch – Pune",18.532208,73.849260,urban,osm,0.72,false,true,
LOC-00186,ATM,BNK-050,MH-PUN,ATM – Pune,18.532168,73.849272,urban,osm,0.69,true,true,
LOC-00187,ATM,BNK-014,MH-PUN,ATM – Pune,18.532248,73.849246,urban,osm,0.68,true,true,
LOC-00188,ATM,BNK-013,MH-PUN,ATM – Pune,18.532271,73.849237,urban,osm,0.58,true,true,
LOC-00189,BRANCH,BNK-014,MH-PUN,Sbm Bank – Pune,18.530013,73.851345,urban,osm,0.62,false,true,
LOC-00190,BRANCH,BNK-013,MH-PUN,Hdfc Bank – Pune,18.530104,73.851159,urban,osm,0.86,false,true,
LOC-00191,BRANCH,BNK-020,MH-PUN,Federal Bank – Pune,18.528991,73.852718,urban,osm,0.62,false,true,
LOC-00192,BRANCH,BNK-001,MH-PUN,State Bank Of India – Pune,18.529344,73.858011,urban,osm,0.79,false,true,
LOC-00193,BRANCH,BNK-017,MH-PUN,Bank Branch – Pune,18.518698,73.858787,urban,osm,0.62,false,true,
LOC-00194,BRANCH,BNK-014,MH-PUN,Icici Bank – Pune,18.518414,73.859608,urban,osm,0.79,false,true,
LOC-00195,ATM,BNK-015,MH-PUN,ATM – Pune,18.520012,73.852747,semi_urban,osm,0.53,true,true,
LOC-00196,ATM,BNK-001,MH-PUN,ATM – Pune,18.517032,73.854006,semi_urban,osm,0.52,true,true,
LOC-00197,BRANCH,BNK-001,MH-PUN,Bank Branch – Pune,18.514642,73.853844,urban,osm,0.66,false,true,
LOC-00198,ATM,BNK-002,MH-PUN,ATM – Pune,18.515786,73.853848,urban,osm,0.62,true,true,
LOC-00199,BRANCH,BNK-003,MH-PUN,Bank Branch – Pune,18.516316,73.853906,urban,osm,0.66,false,true,
LOC-00200,BRANCH,BNK-045,MH-PUN,Janata Sahakari Bank – Pune,18.516337,73.849692,urban,osm,0.64,false,true,
LOC-00201,ATM,BNK-001,MH-PUN,ATM – Pune,18.516442,73.850014,urban,osm,0.6,true,true,
LOC-00202,ATM,BNK-014,MH-PUN,Icici Bank – Pune,18.518624,73.849995,urban,osm,0.86,true,true,
LOC-00203,ATM,BNK-017,MH-PUN,Yes Bank – Pune,18.522931,73.848422,urban,osm,0.6,true,true,
LOC-00204,BRANCH,BNK-040,MH-PUN,Bank Branch – Pune,18.528591,73.843285,urban,osm,0.65,false,true,
LOC-00205,BRANCH,BNK-023,MH-PUN,Idbi Bank – Pune,18.526461,73.841708,urban,osm,0.62,false,true,
LOC-00206,BRANCH,BNK-016,MH-PUN,Kotak Mahindra Bank – Pune,18.525641,73.841442,urban,osm,0.69,false,true,
LOC-00207,BRANCH,BNK-014,MH-PUN,Icici Bank – Pune,18.524669,73.843069,urban,osm,0.76,false,true,
LOC-00208,ATM,BNK-006,MH-PUN,Bank Of India – Pune,18.523547,73.841302,urban,osm,0.57,true,true,
LOC-00209,BRANCH,BNK-006,MH-PUN,Bank Of India – Pune,18.523593,73.841308,urban,osm,0.65,false,true,
LOC-00210,BRANCH,BNK-015,MH-PUN,Axis Bank – Pune,18.523109,73.841182,urban,osm,0.73,false,true,
LOC-00211,BRANCH,BNK-007,MH-PUN,Allahabad Bank – Pune,18.522479,73.841207,urban,osm,0.67,false,true,legacy OSM tag (merged into Indian Bank)
LOC-00212,BRANCH,BNK-019,MH-PUN,Udyam Vikas Sahakari Bank – Pune,18.523360,73.844051,urban,osm,0.68,false,true,
LOC-00213,BRANCH,BNK-045,MH-PUN,Janata Sahakari Bank Ltd. Pune – Pune,18.523505,73.846199,urban,osm,0.61,false,true,
LOC-00214,ATM,BNK-002,MH-PUN,ATM – Pune,18.523622,73.846552,urban,osm,0.57,true,true,
