unit_id,kind,district_id,unit_name,lat,lon,status,speed_profile,source
UNIT-0025,station,MH-PUN,Vishrantwadi Police Station,18.564672,73.877527,active,urban,osm
UNIT-0026,station,MH-PUN,Khadki Police Station,18.557192,73.845425,active,urban,osm
UNIT-0027,station,MH-PUN,Police Station – Pune,18.544938,73.844857,active,urban,osm
UNIT-0028,station,MH-PUN,ShivajiNagar Police Station,18.529982,73.850013,active,urban,osm
UNIT-0029,station,MH-PUN,Ganesh Peth Police station,18.516175,73.862191,active,urban,osm
UNIT-0030,station,MH-PUN,Faraskhana Police Station,18.516496,73.856026,active,urban,osm
UNIT-0031,station,MH-PUN,Kasba Peth Police Chowki,18.520476,73.856038,active,urban,osm
UNIT-0032,station,MH-PUN,Narayan Peth Police Chowki,18.516200,73.847865,active,urban,osm
UNIT-0033,station,MH-PUN,Shaniwar Peth Police Chowki,18.520009,73.850024,active,urban,osm
UNIT-0034,station,MH-PUN,Balagandharva Police Station,18.522236,73.847842,inactive,urban,osm
UNIT-0035,station,MH-PUN,"Centre for Police Research - CPR,",18.540655,73.822460,inactive,urban,osm
UNIT-0036,station,MH-RAI,chaitra cafe Police Station,19.035020,73.100965,active,semi_urban,osm
UNIT-0037,station,MH-THA,Kulgaon Police Station,19.157544,73.239707,active,urban,osm
UNIT-0038,station,MH-THA,Badlapur Police Station.,19.157600,73.239640,active,urban,osm
UNIT-0039,station,MH-THA,Kinhavali Police Station,19.352300,73.481162,active,urban,osm
UNIT-0040,station,MH-THA,Police Station – Thane,19.193452,73.332748,active,urban,osm
UNIT-0041,station,MH-AHM,Rajur Police Station,19.519499,73.872201,active,rural,osm
UNIT-0042,station,MH-AHM,Akole Police Station,19.539599,74.004302,active,rural,osm
UNIT-0043,station,MH-PUN,Otur Police Station,19.270260,73.981664,active,urban,osm
UNIT-0044,station,MH-LAT,MIDC Police station,18.409045,76.543086,active,rural,osm
UNIT-0045,station,MH-LAT,Renapur Naka Police Chowki,18.408776,76.567356,active,rural,osm
UNIT-0046,station,MH-LAT,Vivekanand Chowk Police Station,18.404540,76.597787,active,rural,osm
UNIT-0047,station,MH-LAT,Police Welfare Highschool,18.388700,76.619447,active,rural,osm
UNIT-0048,station,MH-LAT,"Police Training Center, Babhalgaon",18.389406,76.624772,active,rural,osm
UNIT-0049,station,MH-LAT,Police Headquarter Latur,18.389955,76.623439,active,rural,osm
UNIT-0050,station,MH-LAT,Latur Gramin Police Station,18.398387,76.602248,active,rural,osm
UNIT-0051,station,MH-LAT,Police Station Latur Ghramine,18.398436,76.602032,active,rural,osm
UNIT-0052,station,MH-LAT,Gandhi Chowk Police station,18.399925,76.578086,active,rural,osm
UNIT-0053,station,MH-LAT,Shivajinagar Police Chowki,18.387483,76.563039,active,rural,osm
UNIT-0054,station,MH-LAT,Ashtavinayak Police Station,18.394021,76.567605,active,rural,osm
UNIT-0055,station,MH-LAT,Shivaji Chowk Police station,18.399734,76.563593,active,rural,osm
UNIT-0056,station,MH-LAT,Police station Shirur Anantpal,18.341970,76.841431,active,rural,osm
UNIT-0057,station,MH-LAT,"Police Station, Shirur Anatpal",18.341856,76.841606,inactive,rural,osm
UNIT-0058,station,MH-PUN,Chavan Nagar - Pune Rural Police Headquarters,18.540356,73.819313,active,urban,osm
UNIT-0059,station,MH-PUN,Chaturshringi Police Station,18.546176,73.825612,active,urban,osm
UNIT-0060,station,MH-PUN,Sangvi Police Station,18.578593,73.815639,active,urban,osm
UNIT-0061,station,MH-PUN,Pimple Saudagar Police Statiom,18.601556,73.799361,active,urban,osm
UNIT-0062,station,MH-PUN,Police Station Pimple Saudagar,18.601819,73.799092,active,urban,osm
UNIT-0063,station,MH-PUN,Mahalunge Police Station,18.787132,73.775838,active,urban,osm
UNIT-0064,station,MH-PUN,Marungi Police Station,18.746000,73.788333,active,urban,osm
UNIT-0065,station,MH-OSM,Police Station – Osmanabad,17.835979,76.629626,active,rural,osm
UNIT-0066,station,MH-LAT,Police Station – Latur,18.077403,76.592733,active,rural,osm
UNIT-0067,station,MH-PUN,Wakad Police Chowky,18.592050,73.757560,active,urban,osm
UNIT-0068,station,HR-FAT,New Police Line,29.486362,75.479407,active,rural,osm
UNIT-0069,station,HR-BHI,Old Police Station,28.878790,75.914859,active,rural,osm
UNIT-0070,station,HR-BHI,Police Station,28.879001,75.915503,active,rural,osm
UNIT-0071,station,HR-HIS,Police Station Urban Estate,29.127134,75.765395,inactive,semi_urban,osm
UNIT-0072,station,UP-CHI,Police Station – Chitrakoot,25.216195,80.917238,active,rural,osm
UNIT-0073,station,UP-CHI,MAHILA THANA Police Station,25.213767,80.905931,active,rural,osm
UNIT-0074,station,UP-CHI,PURANI KOTWALI MAIDAN Police Station,25.213412,80.907626,active,rural,osm
UNIT-0075,station,HR-GUR,Police Station Bilaspur,28.288256,76.858613,active,urban,osm
UNIT-0076,station,HR-REW,Police Aid Post dharuheda,28.215750,76.794717,active,rural,osm
UNIT-0077,station,HR-MAH,Railway Police Force,28.044712,76.121662,active,rural,osm
UNIT-0078,station,HR-MAH,Women Police Station,28.047453,76.111972,active,rural,osm
UNIT-0079,station,HR-MAH,Police Station – Mahendragarh,28.050303,76.112065,inactive,rural,osm
UNIT-0080,station,HR-MAH,New Police Station,28.057237,76.107008,active,rural,osm
UNIT-0081,station,HR-MAH,Police Line Narnaul,28.046967,76.111995,active,rural,osm
UNIT-0082,station,HR-MAH,Police Station – Mahendragarh,28.074473,76.108030,active,rural,osm
UNIT-0083,station,HR-MAH,Firing Range Narnaul Police Station,28.071006,76.075560,inactive,rural,osm
UNIT-0084,station,HR-MAH,Mahendragarh Police Station,28.272001,76.147984,active,rural,osm
UNIT-0085,station,UP-GOR,Police Station – Gorakhpur,26.754713,83.213205,active,rural,osm
UNIT-0086,station,UP-AMB,Chhajjapur Police Chowki,26.555617,82.656952,active,rural,osm
UNIT-0087,station,UP-AMB,Kedar Nagar Police station,26.539945,82.546576,active,rural,osm
UNIT-0088,station,UP-AMB,Kedar Nagar Police Station,26.540610,82.546149,active,rural,osm
UNIT-0089,station,UP-SID,Police Office Siddharth Nagar,27.275289,83.067549,inactive,rural,osm
UNIT-0090,station,UP-KUS,Police Station Padrauna,26.901930,83.976826,active,rural,osm
UNIT-0091,station,UP-MAH,"Immigration Check Post, Sonauli Police Station",27.471959,83.465604,active,rural,osm
UNIT-0092,station,HR-GUR,Police Station – Gurugram,28.460127,77.092758,active,urban,osm
UNIT-0093,station,HR-GUR,Police Station Sushant Lok,28.460703,77.080971,active,urban,osm
UNIT-0094,station,HR-GUR,Sushant Lok Police Station,28.462993,77.072817,active,urban,osm
UNIT-0095,station,HR-GUR,Sector 29 Police Station,28.463048,77.073173,active,urban,osm
UNIT-0096,station,HR-GUR,"Police Station, DLF Phase 2",28.487335,77.091064,active,urban,osm
UNIT-0097,station,HR-GUR,Palam Vihar Police Station,28.501366,77.063519,active,urban,osm
UNIT-0098,station,HR-GUR,Sector 18 Police Station,28.487675,77.066046,active,urban,osm
UNIT-0099,station,HR-GUR,Sector 18 Police Station,28.486364,77.066095,active,urban,osm
UNIT-0100,station,HR-GUR,Police Station – Gurugram,28.503823,77.024721,active,urban,osm
UNIT-0101,station,MH-AUR,Police Headcquarter Aurangabad(Rural),19.899686,75.352394,active,semi_urban,osm
UNIT-0102,station,UP-GHA,Teela Mod Police Station,28.725869,77.334623,active,urban,osm
UNIT-0103,station,UP-BAG,Police Chowki,28.863895,77.285428,active,rural,osm
UNIT-0104,station,HR-SON,"Commissioner's Office, Sonipat Police Station",28.944506,77.101282,active,semi_urban,osm
UNIT-0105,station,HR-SON,Murthal Police Station,29.026639,77.073202,active,semi_urban,osm
UNIT-0106,station,UP-BAN,Police Baberu,25.549502,80.697410,active,rural,osm
UNIT-0107,station,UP-AME,Kamrauli police station,26.485459,81.560509,inactive,rural,osm
UNIT-0108,station,UP-LKO,UP police Headquarters,26.812074,81.008873,active,urban,osm
UNIT-0109,station,UP-LKO,Police Chowki Makboolganj,26.839597,80.924987,active,urban,osm
UNIT-0110,station,UP-LKO,Dugawan Police Chowki,26.845803,80.918437,active,urban,osm
UNIT-0111,station,MH-SAT,Police Station – Satara,17.696487,73.988277,active,rural,osm
UNIT-0112,station,MH-SAT,Satara Rural Police Station,17.687764,73.990781,active,rural,osm
UNIT-0113,station,MH-SAT,Police Head Quarter,17.687372,73.998712,active,rural,osm
UNIT-0114,station,UP-BAL,Ubhaon Police Station,26.132733,83.866918,active,rural,osm
UNIT-0115,station,UP-BAL,Sukhpura Thana Police Station,25.856842,84.092084,active,rural,osm
UNIT-0116,station,MH-AUR,Police Station – Aurangabad,20.034055,75.033655,inactive,semi_urban,osm
UNIT-0117,station,MH-AUR,POLICE GROUND,20.264920,75.132722,active,semi_urban,osm
UNIT-0118,station,MH-AUR,Police Station – Aurangabad,20.090081,75.435754,active,semi_urban,osm
UNIT-0119,station,MH-AUR,Police station1,19.577608,75.626138,active,semi_urban,osm
UNIT-0120,station,MH-JAA,DY SP OFFICE Police Station,19.619334,75.793041,active,rural,osm
UNIT-0121,station,MH-JAA,Police station of ambad,19.616455,75.787953,active,rural,osm
UNIT-0122,station,MH-SAT,Malharpeth Police station,17.344462,74.004712,active,rural,osm
UNIT-0123,station,MH-RAT,Jaigad Police Station,17.292797,73.219457,active,rural,osm
UNIT-0124,station,MH-RAT,Ratnagiri Railway Police Station,17.003026,73.356900,active,rural,osm
UNIT-0125,station,MH-RAT,Police Station – Ratnagiri,17.007628,73.431599,inactive,rural,osm
UNIT-0126,station,MH-RAT,Police Station – Ratnagiri,16.699092,73.394564,inactive,rural,osm
UNIT-0127,station,MH-SIN,police station,16.062164,73.457255,active,rural,osm
UNIT-0128,station,MH-SIN,Sindhurgnagari Police Station,16.115655,73.704848,active,rural,osm
UNIT-0129,station,MH-KOL,Gadhinglaj Police Station,16.223711,74.347802,active,semi_urban,osm
UNIT-0130,station,MH-KOL,Ajara Police Station,16.120429,74.209494,inactive,semi_urban,osm
UNIT-0131,station,UP-SAH,Hasanpur Police Chowki,29.938214,77.538743,inactive,semi_urban,osm
UNIT-0132,station,UP-SAH,hasanpur chowki Police Station,29.938308,77.539194,active,semi_urban,osm
UNIT-0133,station,HR-KAR,Police Station – Karnal,29.731906,77.041398,active,semi_urban,osm
UNIT-0134,station,HR-KAR,Police Station,29.693528,77.004256,active,semi_urban,osm
UNIT-0135,station,HR-KAR,Traffic Police Karnal,29.676580,77.005120,inactive,semi_urban,osm
UNIT-0136,station,HR-KAR,Sector 6 Police Chowki,29.678377,77.006987,active,semi_urban,osm
UNIT-0137,station,HR-KAR,Police Complex Madhuban,29.612671,76.971760,active,semi_urban,osm
UNIT-0138,station,MH-PUN,Wakad Police Station,18.607337,73.765311,active,urban,osm
UNIT-0139,station,HR-KUR,Police Line,29.975585,76.885402,active,semi_urban,osm
UNIT-0140,station,HR-PAN,Crime Branch Police Station,30.658150,76.885648,active,semi_urban,osm
UNIT-0141,station,HR-PAN,Police Post Sector 25,30.673162,76.880418,active,semi_urban,osm
UNIT-0142,station,HR-PAN,Police Station Chandimandir,30.691553,76.883560,active,semi_urban,osm
UNIT-0143,station,HR-PAN,Haryana Emergency 112 Helpline Center Police Station,30.693901,76.870216,active,semi_urban,osm
UNIT-0144,station,HR-PAN,Police Station Sector 1,30.700956,76.868200,active,semi_urban,osm
UNIT-0145,station,MH-MSB,Kandivali Police Station,19.209583,72.850140,active,urban,osm
UNIT-0146,station,MH-MSB,Police Station – Mumbai Suburban,19.228789,72.804654,active,urban,osm
UNIT-0147,station,MH-MSB,Versova Police Station,19.142974,72.804488,inactive,urban,osm
UNIT-0148,station,MH-MSB,Oshiwara Police Station,19.147698,72.831433,active,urban,osm
UNIT-0149,station,MH-MSB,Police Station – Mumbai Suburban,19.183497,72.844506,active,urban,osm
UNIT-0150,station,MH-MSB,Dindoshi Police station,19.178949,72.857733,active,urban,osm
UNIT-0151,station,MH-MSB,Aarey Police Station,19.166485,72.854382,active,urban,osm
UNIT-0152,station,MH-MSB,Goregaon Police Station,19.157400,72.845809,active,urban,osm
UNIT-0153,station,MH-MSB,Goregaon (E) Police Station,19.155874,72.857676,inactive,urban,osm
UNIT-0154,station,MH-PUN,Hinjawadi police station,18.586133,73.735549,active,urban,osm
UNIT-0155,station,MH-PUN,Police Station – Pune,18.586601,73.736862,active,urban,osm
UNIT-0156,station,MH-PUN,Hinjawadi Police Chowki,18.591748,73.738707,active,urban,osm
UNIT-0157,station,MH-PUN,Baner Police Station,18.568713,73.774847,active,urban,osm
UNIT-0158,station,MH-PUN,Pashan Police station,18.538278,73.798018,inactive,urban,osm
UNIT-0159,station,MH-PUN,Bavdhan Police Chowki,18.522496,73.779584,active,urban,osm
UNIT-0160,station,MH-PUN,bavdhandhan  Police Station,18.522592,73.779613,active,urban,osm
UNIT-0161,station,MH-PUN,Kothrud Police Station,18.506629,73.802475,active,urban,osm
UNIT-0162,station,MH-PUN,Bavdhan Police Station,18.511434,73.777522,active,urban,osm
UNIT-0163,station,MH-KOL,Shahupuri Police Station,16.703469,74.239273,active,semi_urban,osm
UNIT-0164,station,MH-KOL,Laxmipuri Police Station,16.698763,74.227484,active,semi_urban,osm
UNIT-0165,station,MH-KOL,Juna Rajawada Police Station,16.694502,74.223529,active,semi_urban,osm
UNIT-0166,station,MH-PUN,Police Station – Pune,18.507561,73.917400,active,urban,osm
UNIT-0167,station,MH-AMR,Warud Police Station,21.467315,78.269770,active,semi_urban,osm
UNIT-0168,station,MH-MSB,Versova Police Chowki,19.136755,72.810513,active,urban,osm
UNIT-0169,station,MH-MSB,Versova Police station (D.N.Nagar),19.124531,72.830137,active,urban,osm
UNIT-0170,station,MH-MSB,Versova Police Station,19.124125,72.830370,active,urban,osm
UNIT-0171,station,MH-MSB,D.N. Nagar Police Station,19.122585,72.830000,active,urban,osm
UNIT-0172,station,MH-MSB,Police Station – Mumbai Suburban,19.098188,72.826643,active,urban,osm
UNIT-0173,station,MH-MSB,Juhu Tara Road Police Station,19.096447,72.827042,active,urban,osm
UNIT-0174,station,MH-MSB,Juhu Police Station,19.103166,72.832712,active,urban,osm
UNIT-0175,station,MH-MSB,Bail Bazar Police Station,19.085325,72.880989,active,urban,osm
UNIT-0176,station,MH-MSB,Marol Police Camp,19.127856,72.884089,active,urban,osm
UNIT-0177,station,MH-PUN,Police Station – Pune,18.522945,73.615706,active,urban,osm
UNIT-0178,station,MH-RAI,Police Station – Raigad,18.237525,73.288623,active,semi_urban,osm
UNIT-0179,station,MH-RAI,Roha Police Station,18.441988,73.112730,active,semi_urban,osm
UNIT-0180,station,MH-PUN,Police Madat Kendra,18.743389,73.483323,inactive,urban,osm
UNIT-0181,station,MH-PUN,Kamshet Police Station,18.762464,73.559042,inactive,urban,osm
UNIT-0182,station,MH-PUN,Lonavala police station,18.747556,73.407184,active,urban,osm
UNIT-0183,station,MH-PUN,Police Station – Pune,18.753902,73.404556,active,urban,osm
UNIT-0184,station,MH-PUN,Police Station – Pune,18.753939,73.404532,active,urban,osm
UNIT-0185,station,MH-RAI,Highway Police Borghat,18.764348,73.355652,active,semi_urban,osm
UNIT-0186,station,MH-RAI,Khopoli Police Station,18.786251,73.343528,active,semi_urban,osm
UNIT-0187,station,MH-RAI,Matheran Police Station,18.982771,73.268526,active,semi_urban,osm
UNIT-0188,station,HR-SON,Police Station Rai,28.939855,77.097789,active,semi_urban,osm
UNIT-0189,station,HR-SON,Police Station – Sonipat,28.920129,77.062994,active,semi_urban,osm
UNIT-0190,station,HR-SON,Ganaur Police Station,29.133022,77.014927,active,semi_urban,osm
UNIT-0191,station,MH-KOL,Rajarampuri Police Station,16.690523,74.246911,active,semi_urban,osm
UNIT-0192,station,MH-KOL,Highway Police Station,16.660890,74.267511,active,semi_urban,osm
UNIT-0193,station,MH-KOL,Kagal Police Station,16.576096,74.314362,active,semi_urban,osm
UNIT-0194,station,MH-PUN,Chandan nagar police,18.557096,73.928086,active,urban,osm
UNIT-0195,station,MH-PUN,Kharadi Police Station,18.549192,73.947423,active,urban,osm
UNIT-0196,station,MH-PUN,Police Station,18.571317,73.979084,active,urban,osm
UNIT-0197,station,MH-PUN,police station Wagoli;Wagoli police station,18.581825,73.986854,active,urban,osm
UNIT-0198,station,MH-PUN,wagoli police station,18.581217,73.986526,active,urban,osm
UNIT-0199,station,MH-MSB,Homeguard Central Training Institute Police Station,19.089619,72.890637,active,urban,osm
UNIT-0200,station,MH-MSB,Vikhroli Police Station,19.118719,72.937325,active,urban,osm
UNIT-0201,station,MH-MSB,Tembhipada Police Chowki,19.154890,72.929111,inactive,urban,osm
UNIT-0202,station,MH-MSB,Traffic Police Chowky,19.163976,72.937481,active,urban,osm
UNIT-0203,station,MH-MSB,Police Station – Mumbai Suburban,19.169307,72.968504,active,urban,osm
UNIT-0204,station,MH-MSB,Police Station – Mumbai Suburban,19.169550,72.959176,active,urban,osm
UNIT-0205,station,MH-MSB,Police Station – Mumbai Suburban,19.171584,72.956655,active,urban,osm
UNIT-0206,station,MH-MSB,Mulund Police Chowky,19.172340,72.956269,active,urban,osm
UNIT-0207,station,MH-THA,Mulund Police Station,19.177604,72.951644,active,urban,osm
UNIT-0208,station,MH-MSB,RPF Reserve Line - Mulund Police Station,19.173452,72.959182,active,urban,osm
UNIT-0209,station,MH-MSB,"Office Of The Inspector Incharge, Mulund East Police Station",19.172160,72.957515,active,urban,osm
UNIT-0210,station,MH-MSB,Kopri Police Station,19.178321,72.969173,active,urban,osm
UNIT-0211,station,MH-THA,Naupada Police Station,19.188799,72.967171,active,urban,osm
UNIT-0212,station,MH-THA,Police Station – Thane,19.187185,72.975904,active,urban,osm
UNIT-0213,station,UP-MUZ,Police Chowki Baywala,29.258752,77.456719,active,semi_urban,osm
UNIT-0214,station,UP-MUZ,Command House SSP Muzaffarnagar Police Station,29.467848,77.706254,active,semi_urban,osm
UNIT-0215,station,UP-MUZ,Khatauli Police Station,29.275475,77.731512,active,semi_urban,osm
UNIT-0216,station,UP-MEE,Medical Police Station,28.961040,77.753735,active,semi_urban,osm
UNIT-0217,station,UP-MEE,Police Station – Meerut,28.978615,77.693479,active,semi_urban,osm
UNIT-0218,station,UP-MEE,Police Station – Meerut,28.978583,77.693056,active,semi_urban,osm
UNIT-0219,station,UP-MEE,Police Chowki Kaiserganj,28.982067,77.695534,active,semi_urban,osm
UNIT-0220,station,UP-MEE,Police Station – Meerut,28.978880,77.698169,active,semi_urban,osm
UNIT-0221,station,UP-MEE,Police Station – Meerut,28.980632,77.705917,active,semi_urban,osm
UNIT-0222,station,UP-MEE,Lisari Gate Police Station,28.970812,77.706542,active,semi_urban,osm
UNIT-0223,station,UP-MEE,Police Station Tejgarhi,28.963814,77.740780,active,semi_urban,osm
UNIT-0224,station,UP-MEE,Police Station – Meerut,28.981524,77.737990,active,semi_urban,osm
UNIT-0225,station,UP-MEE,Jail Chungi Police chowki,28.979054,77.731600,active,semi_urban,osm
UNIT-0226,station,UP-MEE,Police Station – Meerut,28.988298,77.727343,active,semi_urban,osm
UNIT-0227,station,MH-KOL,Shivaji Nagar Police Station,16.685643,74.458430,active,semi_urban,osm
UNIT-0228,station,MH-PUN,lonikand Police station,18.620529,74.023799,inactive,urban,osm
UNIT-0229,station,MH-PUN,Unit 6 Police Station,18.572673,73.978236,active,urban,osm
UNIT-0230,station,MH-MSB,BKC Police Station,19.064515,72.860341,active,urban,osm
UNIT-0231,station,MH-MSB,Kherwadi Police Station,19.065421,72.849982,active,urban,osm
UNIT-0232,station,MH-MSB,Khar Police Station,19.072887,72.837653,active,urban,osm
UNIT-0233,station,MH-MSB,Police Station – Mumbai Suburban,19.084055,72.835256,active,urban,osm
UNIT-0234,station,MH-MSB,Santacruz Police Station,19.084410,72.834722,active,urban,osm
UNIT-0235,station,MH-MSB,Police Chowk,19.073890,72.829485,active,urban,osm
UNIT-0236,station,MH-MSB,Police Chowki,19.062832,72.829219,active,urban,osm
UNIT-0237,station,MH-MSB,"Additional Commisioner of Police, Mumbai, West Region",19.062764,72.822625,active,urban,osm
UNIT-0238,station,MH-RAI,Murud Police Station,18.334478,72.954527,active,semi_urban,osm
UNIT-0239,station,MH-MSB,Gokuldham Police Station,19.175591,72.867653,active,urban,osm
UNIT-0240,station,MH-MSB,"Police Station, Thakur Village",19.205951,72.872904,active,urban,osm
UNIT-0241,station,MH-MSB,Police Station – Mumbai Suburban,19.257384,72.865094,active,urban,osm
UNIT-0242,station,MH-THA,Police Station – Thane,19.259059,72.966995,active,urban,osm
UNIT-0243,station,MH-THA,Chitalsar Police Station,19.231394,72.976279,active,urban,osm
UNIT-0244,station,UP-MEE,Police Chowki Subharti,28.958454,77.639534,active,semi_urban,osm
UNIT-0245,station,UP-MEE,Police Station – Meerut,28.977997,77.675098,active,semi_urban,osm
UNIT-0246,station,UP-MEE,T.P. Nagar Thana Police Station,28.971473,77.682331,active,semi_urban,osm
UNIT-0247,station,UP-GHA,Modinagar Police Station,28.830013,77.570438,active,urban,osm
UNIT-0248,station,UP-GHA,karan gate Police Station,28.688547,77.358281,active,urban,osm
UNIT-0249,station,UP-GHA,POLICE CHOWLI SIKANDARAPUR,28.695000,77.339214,active,urban,osm
UNIT-0250,station,UP-GHA,shalimar garden police chowki,28.688339,77.340492,active,urban,osm
UNIT-0251,station,UP-GHA,Rajendra Nagar Police Chowki,28.677813,77.357894,active,urban,osm
UNIT-0252,station,UP-GHA,Police Station Sahibabad,28.678628,77.371272,active,urban,osm
UNIT-0253,station,UP-SAM,Police Station – Sambhal,28.238026,78.443873,active,semi_urban,osm
UNIT-0254,station,UP-AMR,Police Station – Amroha,28.532693,78.310851,inactive,rural,osm
UNIT-0255,station,UP-BUL,Ahmedgarh Police Station,28.238216,78.132706,active,rural,osm
UNIT-0256,station,UP-BUL,Police Station – Bulandshahr,28.230671,78.189886,active,rural,osm
UNIT-0257,station,UP-BUL,Police Station – Bulandshahr,28.218636,78.225135,inactive,rural,osm
UNIT-0258,station,UP-BUL,Police Station – Bulandshahr,28.209348,78.248618,active,rural,osm
UNIT-0259,station,UP-BUD,Police Station – Budaun,28.156526,78.611690,active,rural,osm
UNIT-0260,station,MH-RAI,Poladpur Police station,17.982796,73.465311,active,semi_urban,osm
UNIT-0261,station,MH-SAT,Police Station – Satara,17.923917,73.658961,active,rural,osm
UNIT-0262,station,MH-SAT,Panchgani Police Station,17.924644,73.799987,active,rural,osm
UNIT-0263,station,MH-SAT,Police Station,17.949978,73.887259,active,rural,osm
UNIT-0264,station,MH-PUN,Velhe Police Station,18.291220,73.636931,active,urban,osm
UNIT-0265,station,MH-PUN,Saswad police station,18.346335,74.029881,active,urban,osm
UNIT-0266,station,MH-PUN,Police Station – Pune,18.463782,73.815472,active,urban,osm
UNIT-0267,station,MH-PUN,Vadgaon Budruk Police Chowki,18.468983,73.832795,active,urban,osm
UNIT-0268,station,MH-PUN,Sinhagad Road Police Station,18.473132,73.813710,active,urban,osm
UNIT-0269,station,UP-VAR,Kathirao Police Chauki,25.523121,82.740214,active,semi_urban,osm
UNIT-0270,station,UP-AMB,police station,26.309812,82.737988,active,rural,osm
UNIT-0271,station,UP-AMB,Rajesultanpur KOTWALI Police Station,26.306309,83.079039,active,rural,osm
UNIT-0272,station,UP-SAN,Sikriganj Police Station,26.503025,83.200402,active,rural,osm
UNIT-0273,station,UP-GOR,Normal Police Chauki,26.740780,83.359874,active,rural,osm
UNIT-0274,station,UP-GOR,Normal Police Chauki,26.740804,83.359830,active,rural,osm
UNIT-0275,station,UP-GOR,Police Station – Gorakhpur,26.758615,83.377179,active,rural,osm
UNIT-0276,station,UP-KAS,Police Station – Kasganj,27.709300,78.739980,active,rural,osm
UNIT-0277,station,UP-FIR,rajawli chawraha Police Station,27.337490,78.347701,active,semi_urban,osm
UNIT-0278,station,UP-ETA,tajapur Police Station,27.355823,78.369129,active,rural,osm
UNIT-0279,station,UP-SON,Mahila Thana Police Station,24.688210,83.073764,active,rural,osm
UNIT-0280,station,UP-SON,Robertsganj Police Thana,24.683198,83.063721,active,rural,osm
UNIT-0281,station,UP-SON,Renukoot Police Station,24.216044,83.035527,active,rural,osm
UNIT-0282,station,MH-PUN,Paud Phata Police Chowki,18.506451,73.824599,active,urban,osm
UNIT-0283,station,MH-PUN,Alankar Police Chowki,18.498433,73.826215,active,urban,osm
UNIT-0284,station,MH-PUN,Dattawadi Police Chowki,18.501002,73.840267,active,urban,osm
UNIT-0285,station,MH-PUN,Prabhat Police Chowki,18.514522,73.833306,active,urban,osm
UNIT-0286,station,MH-PUN,Deccan Gymkhana Police Chowki,18.514141,73.840381,active,urban,osm
UNIT-0287,station,MH-PUN,Sambhaji Police Chowki,18.513178,73.843892,active,urban,osm
UNIT-0288,station,MH-PUN,Senadatta Police Chowki,18.505206,73.844603,active,urban,osm
UNIT-0289,station,MH-PUN,Perugate Police Chowki,18.511393,73.848776,active,urban,osm
UNIT-0290,station,MH-PUN,Swargate Police Station,18.500792,73.859159,active,urban,osm
UNIT-0291,station,MH-PUN,Dattawadi Police Station,18.492845,73.848048,active,urban,osm
UNIT-0292,station,MH-PUN,Laxminagar Police chowky,18.489602,73.849701,active,urban,osm
UNIT-0293,station,MH-PUN,Sahakarnagar Police Station,18.489551,73.849689,active,urban,osm
UNIT-0294,station,MH-PUN,Bharati Vidyapeeth Police Station,18.459096,73.857523,active,urban,osm
